Pclass,Sex,Age,Fare,Cabin,Embarked,Has_family,Survived
1,1,42.0,52.0,7,2,True,0
3,1,30.1,15.5,7,1,True,0
1,1,49.0,89.1042,2,0,True,1
1,0,19.0,91.0792,1,0,True,1
1,1,19.0,53.1,3,2,True,0
2,0,27.0,21.0,7,2,True,0
1,1,38.0,90.0,2,2,True,1
2,1,2.0,26.0,5,2,True,1
3,1,12.0,11.2417,7,0,True,1
3,1,0.42,8.5167,7,0,True,1
2,1,34.0,13.0,7,2,False,0
3,1,38.0,7.8958,7,2,False,0
3,0,30.1,14.4583,7,0,True,0
3,0,30.1,23.45,7,2,True,0
3,0,30.1,7.75,7,1,True,0
1,1,17.0,110.8833,2,0,True,1
3,1,22.0,7.25,7,2,True,0
2,1,60.0,39.0,7,2,True,0
2,1,23.0,11.5,7,2,True,0
3,1,30.0,7.225,7,0,False,0
3,1,32.0,56.4958,7,2,False,1
3,1,44.0,16.1,7,2,True,0
3,1,31.0,7.925,7,2,False,1
2,0,29.0,10.5,5,2,False,1
2,0,34.0,13.0,7,2,False,1
3,0,48.0,34.375,7,2,True,0
1,0,33.0,90.0,2,1,True,1
3,1,41.0,7.125,7,2,False,0
3,1,29.0,7.75,7,1,False,1
1,1,36.0,78.85,2,2,True,0
1,1,11.0,120.0,1,2,True,1
1,0,58.0,153.4625,2,2,True,1
3,0,18.0,6.75,7,1,False,0
1,1,44.0,90.0,2,1,True,0
2,0,40.0,15.75,7,2,False,1
2,1,31.0,26.25,7,2,True,0
3,0,9.0,27.9,7,2,True,0
2,0,13.0,19.5,7,2,True,1
3,1,30.1,15.5,7,1,True,0
3,0,30.1,7.75,7,1,False,1
2,0,24.0,14.5,7,2,True,1
2,1,27.0,26.0,7,2,False,0
2,1,33.0,12.275,7,2,False,0
1,1,25.0,91.0792,1,0,True,1
1,1,46.0,61.175,4,2,True,0
3,0,17.0,14.4583,7,0,False,0
2,0,28.0,24.0,7,0,True,1
3,1,30.1,7.8958,7,2,False,0
3,1,20.0,9.8458,7,2,False,0
2,1,30.1,0.0,7,2,False,0
3,0,47.0,14.5,7,2,True,0
3,1,36.0,15.55,7,2,True,0
2,1,16.0,26.0,7,2,False,0
2,0,5.0,27.75,7,2,True,1
3,0,25.0,7.775,7,2,False,0
1,0,39.0,79.65,4,2,True,1
3,1,18.0,7.75,7,2,False,0
3,0,40.0,9.475,7,2,True,0
3,1,24.0,8.05,7,2,False,0
3,0,18.0,9.8417,7,2,False,1
3,1,19.0,8.05,7,2,False,0
3,0,17.0,7.925,7,2,True,1
3,1,30.0,9.5,7,2,False,1
1,1,24.0,79.2,1,0,False,0
3,1,30.1,7.225,7,0,False,0
1,1,24.0,247.5208,1,0,True,0
3,1,39.0,7.925,7,2,False,0
3,1,2.0,39.6875,7,2,True,0
3,1,21.0,7.775,7,2,False,0
3,0,43.0,46.9,7,2,True,0
3,1,18.0,7.7958,7,2,False,0
3,1,30.1,7.2292,7,0,False,0
1,0,54.0,78.2667,3,0,True,1
3,0,14.0,7.8542,7,2,False,0
3,0,30.1,7.7875,7,1,False,1
3,0,32.0,15.5,7,1,True,0
3,1,30.1,7.7292,7,1,False,0
1,0,23.0,263.0,2,2,True,1
1,1,37.0,29.7,2,0,True,0
3,0,1.0,11.1333,7,2,True,1
3,0,22.0,9.8375,7,2,False,0
3,1,33.0,8.6542,7,2,False,0
3,1,43.0,6.45,7,2,False,0
2,0,4.0,23.0,7,2,True,1
3,1,30.1,8.05,7,2,False,0
1,0,24.0,263.0,2,2,True,1
3,1,1.0,20.575,7,2,True,1
3,1,30.1,14.5,7,2,False,0
3,1,30.1,16.1,7,2,True,0
1,0,58.0,26.55,2,2,False,1
3,1,30.1,7.75,7,1,True,0
2,0,28.0,13.0,7,2,False,1
3,0,9.0,34.375,7,2,True,0
1,0,50.0,247.5208,1,0,True,1
3,1,21.0,8.05,7,2,False,0
1,1,31.0,57.0,1,2,True,1
3,1,28.0,7.925,7,2,True,0
3,1,26.0,7.8542,7,2,True,0
3,1,21.0,8.4333,7,2,False,0
3,1,14.0,46.9,7,2,True,0
3,1,21.0,7.925,7,2,False,0
3,1,32.0,8.05,4,2,False,1
2,1,19.0,10.5,7,2,False,1
1,1,0.92,151.55,2,2,True,1
1,0,30.1,146.5208,1,0,True,1
3,1,30.1,15.2458,7,0,True,1
2,1,8.0,36.75,7,2,True,1
2,0,2.0,26.0,7,2,True,1
3,1,33.0,8.6625,7,0,False,0
3,1,9.0,46.9,7,2,True,0
3,0,23.0,7.925,7,2,False,0
3,1,70.5,7.75,7,1,False,0
2,1,36.0,13.0,7,2,False,0
3,1,30.1,8.05,7,2,False,0
1,0,39.0,110.8833,2,0,True,1
1,1,30.1,221.7792,2,2,False,0
1,0,30.1,82.1708,7,0,True,1
1,1,32.0,30.5,1,0,False,1
3,1,17.0,8.6625,7,2,False,0
3,1,22.0,7.225,7,0,False,1
1,1,45.0,83.475,2,2,True,0
3,1,18.0,8.05,7,2,False,1
3,1,20.0,7.925,7,2,True,1
3,0,4.0,22.025,7,2,True,1
3,1,20.0,7.8542,7,2,False,0
1,0,30.0,31.0,7,0,False,1
3,1,21.0,16.1,7,2,False,0
2,0,40.0,13.0,7,2,False,1
3,1,17.0,7.0542,7,2,True,0
3,1,30.1,7.8958,7,2,False,0
1,1,65.0,61.9792,1,0,True,0
1,0,60.0,75.25,3,0,True,1
2,1,0.83,18.75,7,2,True,1
2,1,30.1,0.0,7,2,False,0
3,1,27.0,7.7958,7,2,False,1
2,1,27.0,13.0,7,2,False,0
3,1,20.0,8.6625,7,2,False,0
3,1,20.0,9.225,7,2,False,0
3,0,30.1,7.6292,7,1,False,0
3,1,21.0,7.25,7,2,False,0
3,0,30.1,7.8792,7,1,False,1
3,1,44.0,8.05,7,2,False,0
3,1,9.0,20.525,7,2,True,1
1,1,30.1,26.0,0,2,False,0
3,1,22.0,9.0,7,2,False,0
3,1,20.5,7.25,7,2,False,0
3,1,25.0,17.8,7,2,True,0
1,0,24.0,83.1583,2,0,False,1
2,0,50.0,26.0,7,2,True,1
2,0,22.0,29.0,7,2,True,1
2,0,14.0,30.0708,7,0,True,1
1,1,35.0,26.55,7,0,False,1
1,1,62.0,26.55,7,2,False,0
3,1,42.0,7.65,5,2,False,0
3,1,36.0,0.0,7,2,False,0
1,1,19.0,263.0,2,2,True,0
3,1,30.1,15.5,7,1,False,0
3,0,18.0,9.35,7,2,True,1
2,1,29.0,27.7208,7,0,True,0
3,0,24.0,8.85,7,2,False,0
1,1,70.0,71.0,1,2,True,0
3,1,30.1,8.4583,7,1,False,0
3,1,42.0,8.4042,7,2,True,0
1,0,18.0,227.525,2,0,True,1
1,1,49.0,110.8833,2,0,True,0
1,1,29.0,30.0,3,2,False,0
3,1,3.0,31.3875,7,2,True,1
1,1,34.0,26.55,7,2,False,1
2,1,32.5,30.0708,7,0,True,0
2,1,0.67,14.5,7,2,True,1
3,0,21.0,7.75,7,1,False,0
3,0,18.0,18.0,7,2,True,0
3,0,30.1,7.8792,7,1,False,1
1,0,36.0,120.0,1,2,True,1
1,0,30.1,133.65,7,2,True,1
3,1,29.0,7.8958,7,0,False,1
3,1,30.1,24.15,7,1,False,0
3,1,26.0,7.775,7,2,False,0
3,1,19.0,8.1583,7,2,False,0
1,1,54.0,77.2875,3,2,True,0
3,0,14.0,11.2417,7,0,True,1
3,1,35.0,8.05,7,2,False,0
2,1,66.0,10.5,7,2,False,0
3,1,30.1,7.8958,7,2,False,0
3,1,28.0,15.85,7,2,True,0
1,1,35.0,26.2875,4,2,False,1
3,1,30.1,7.8958,7,2,False,0
3,1,65.0,7.75,7,1,False,0
2,0,4.0,39.0,5,2,True,1
2,1,34.0,26.0,7,2,True,0
3,1,31.0,7.775,7,2,False,0
2,0,40.0,39.0,7,2,True,1
2,1,44.0,26.0,7,2,True,0
1,0,16.0,39.4,3,2,True,1
3,1,30.1,7.8292,7,1,False,0
1,1,36.0,512.3292,1,0,True,1
1,0,30.1,51.8625,3,2,True,1
2,0,33.0,27.75,7,2,True,1
3,1,30.1,14.4583,7,0,False,0
3,1,32.0,7.8958,7,2,False,0
3,1,30.1,7.775,7,2,False,0
3,1,26.0,7.8875,7,2,False,0
2,0,28.0,12.65,7,2,False,1
1,1,30.1,29.7,2,0,False,1
3,1,30.1,7.75,7,1,False,0
3,1,15.0,7.2292,7,0,True,0
1,1,60.0,79.2,1,0,True,1
3,1,16.0,20.25,7,2,True,0
3,1,20.0,8.05,7,2,False,0
3,0,30.1,15.5,7,1,True,1
1,1,30.1,42.4,7,2,False,0
2,0,22.0,41.5792,7,0,True,1
1,1,50.0,55.9,4,2,True,0
1,0,33.0,53.1,4,2,True,1
3,0,3.0,21.075,7,2,True,0
3,1,30.1,7.75,7,1,False,0
3,0,63.0,9.5875,7,2,False,1
3,1,16.0,18.0,7,2,True,0
3,1,40.5,14.5,7,2,True,0
3,0,31.0,7.8542,7,2,False,0
3,0,30.1,15.5,7,1,True,1
3,1,30.1,8.05,7,2,False,0
3,1,28.0,9.5,7,2,False,0
3,0,24.0,16.7,6,2,True,1
3,1,74.0,7.775,7,2,False,0
1,1,22.0,135.6333,7,0,False,0
1,0,44.0,57.9792,1,0,True,1
2,1,0.83,29.0,7,2,True,1
2,0,26.0,26.0,7,2,True,0
2,1,39.0,13.0,7,2,False,0
3,0,21.0,34.375,7,2,True,0
1,1,56.0,35.5,0,0,False,1
3,1,30.1,7.8958,7,0,False,0
3,1,30.1,8.05,7,2,False,0
2,0,29.0,26.0,7,2,True,1
1,0,36.0,71.0,1,2,True,1
2,0,17.0,12.0,7,0,False,1
3,1,30.1,7.75,7,1,False,0
1,0,30.1,52.0,2,2,True,1
2,1,50.0,13.0,7,2,False,0
3,1,32.0,7.925,7,2,False,1
3,1,30.1,7.25,7,2,False,0
3,1,25.0,7.05,7,2,False,0
2,1,24.0,13.0,7,2,False,0
3,1,50.0,8.05,7,2,False,0
3,0,19.0,7.8542,7,2,True,1
3,1,16.0,8.05,7,2,False,1
3,1,47.0,7.25,7,2,False,0
1,1,27.0,30.5,7,2,False,1
1,1,50.0,106.425,2,0,True,0
2,0,42.0,26.0,7,2,True,1
3,1,30.1,7.2292,7,0,False,0
2,1,25.0,13.0,7,2,False,0
1,1,40.0,27.7208,7,0,False,0
3,1,40.0,7.225,7,0,False,0
3,0,41.0,39.6875,7,2,True,0
1,1,4.0,81.8583,0,2,True,1
3,1,22.0,7.7958,7,2,False,0
3,1,30.0,8.05,7,2,False,0
3,1,32.0,7.925,7,2,False,0
2,0,41.0,19.5,7,2,True,1
1,0,17.0,57.0,1,2,True,1
3,0,24.0,19.2583,7,0,True,1
3,1,30.5,8.05,7,2,False,0
1,0,30.1,110.8833,7,0,False,1
1,1,27.0,211.5,2,0,True,0
2,1,70.0,10.5,7,2,False,0
1,1,21.0,77.2875,3,2,True,0
1,0,49.0,76.7292,3,0,True,1
3,0,30.1,7.7375,7,1,False,1
3,0,16.0,7.7333,7,1,False,1
3,1,19.0,8.05,7,2,False,1
3,0,21.0,9.825,7,2,True,0
1,0,30.0,106.425,7,0,False,1
3,1,30.1,7.75,7,1,False,0
1,1,23.0,63.3583,3,0,True,1
3,0,29.0,21.075,7,2,True,0
3,0,30.1,22.3583,5,0,True,1
3,1,20.0,4.0125,7,0,False,0
1,0,35.0,90.0,2,2,True,1
1,0,50.0,28.7125,2,0,False,0
3,0,30.1,16.1,7,2,True,1
1,1,47.0,52.0,2,2,False,0
3,1,36.0,7.4958,7,2,False,0
3,1,19.0,7.775,7,2,False,0
2,1,19.0,13.0,7,2,False,0
3,0,10.0,24.15,7,2,True,0
3,1,45.5,7.225,7,0,False,0
2,1,25.0,13.0,7,2,False,0
1,0,24.0,69.3,1,0,False,1
1,0,38.0,227.525,2,0,False,1
3,0,30.1,7.7333,7,1,False,1
3,1,30.0,8.05,7,2,False,0
2,0,8.0,26.25,7,2,True,1
3,1,39.0,7.925,7,2,False,1
2,1,59.0,13.5,7,2,False,0
3,1,25.0,7.775,7,2,True,0
2,0,34.0,23.0,7,2,True,1
1,0,43.0,211.3375,1,2,True,1
3,1,47.0,9.0,7,2,False,0
3,1,30.1,8.05,7,2,False,0
2,0,19.0,26.0,7,2,True,1
2,1,42.0,27.0,7,2,True,0
3,1,40.0,27.9,7,2,True,0
3,1,30.1,7.8958,7,2,False,0
1,1,51.0,26.55,4,2,False,1
3,1,22.0,9.35,7,2,False,0
3,0,31.0,18.0,7,2,True,0
1,1,30.1,25.925,7,2,False,0
2,1,36.0,12.875,3,0,False,0
3,0,9.0,31.275,7,2,True,0
2,1,46.0,26.0,7,2,False,0
3,0,31.0,20.525,7,2,True,1
2,1,25.0,41.5792,7,0,True,0
3,0,36.0,17.4,7,2,True,1
3,1,26.0,20.575,7,2,True,0
2,1,30.0,13.0,7,2,False,0
1,0,41.0,134.5,4,0,False,1
3,1,30.1,7.25,7,2,False,0
1,1,30.1,26.55,2,2,False,0
3,1,21.0,7.925,7,2,False,0
3,1,30.1,8.6625,7,2,False,0
2,1,28.0,10.5,7,2,False,0
3,1,22.0,8.05,7,2,False,0
3,1,30.1,7.2292,7,0,False,1
3,1,28.0,7.8958,7,2,False,0
3,0,45.0,14.4542,7,0,True,0
3,1,30.0,7.25,7,2,False,0
3,1,20.0,9.5,7,2,False,0
1,1,30.1,35.0,2,2,False,0
3,1,26.0,7.8958,7,2,False,0
2,1,54.0,26.0,7,2,True,0
3,1,28.0,7.7958,7,2,False,0
2,1,39.0,26.0,7,2,False,0
3,1,51.0,7.75,7,2,False,0
1,0,33.0,86.5,1,2,False,1
3,1,1.0,39.6875,7,2,True,0
3,0,13.0,7.2292,7,0,False,1
2,0,6.0,33.0,7,2,True,1
3,1,28.5,16.1,7,2,False,0
1,1,28.0,47.1,7,2,False,0
1,0,45.0,164.8667,7,2,True,1
1,1,30.1,27.7208,7,0,False,0
2,1,32.0,10.5,7,2,False,0
3,1,35.0,7.125,7,2,False,0
3,1,30.1,6.95,7,1,False,0
3,1,30.1,24.15,7,1,True,0
1,0,39.0,55.9,4,2,True,1
3,1,24.0,7.1417,7,2,False,1
2,0,30.0,13.0,7,2,False,1
1,0,38.0,71.2833,2,0,True,1
2,1,54.0,26.0,7,2,False,0
1,0,22.0,49.5,1,0,True,1
2,1,30.0,24.0,7,0,True,0
3,1,30.1,7.8958,7,2,False,0
3,1,4.0,29.125,7,1,True,0
2,0,18.0,13.0,7,2,True,1
2,1,31.0,13.0,7,2,False,1
1,1,48.0,26.55,4,2,False,1
3,1,24.0,9.5,7,2,False,0
3,0,28.0,14.4,7,2,True,0
3,0,26.0,7.8542,7,2,False,1
3,0,22.0,7.25,7,2,False,1
3,1,30.1,7.2292,7,0,False,0
3,0,18.0,7.4958,7,2,False,1
1,1,64.0,263.0,2,2,True,0
2,0,18.0,23.0,7,2,True,1
2,1,51.0,12.525,7,2,False,0
3,1,32.0,7.75,7,1,False,0
1,0,48.0,39.6,0,0,True,1
3,1,30.1,7.75,5,1,False,0
3,0,30.1,25.4667,7,2,True,0
3,1,19.0,6.75,7,1,False,0
2,0,50.0,10.5,7,2,False,1
3,1,16.0,7.775,7,2,False,0
3,1,33.0,7.8958,7,2,False,0
2,1,23.0,13.0,7,2,False,0
3,0,16.0,7.75,7,1,False,1
2,0,45.0,26.25,7,2,True,1
3,1,20.0,7.05,7,2,False,0
1,0,42.0,227.525,7,0,False,1
1,1,56.0,30.6958,0,0,False,0
3,0,30.1,22.3583,7,0,True,1
1,1,30.1,31.0,7,2,False,0
2,1,3.0,18.75,7,2,True,1
3,1,51.0,7.0542,7,2,False,0
2,0,32.5,13.0,4,2,False,1
3,1,16.0,9.2167,7,2,False,0
3,1,21.0,7.8,7,2,False,0
1,0,63.0,77.9583,3,2,True,1
3,0,30.1,69.55,7,2,True,0
2,1,28.0,13.0,7,2,False,0
1,0,30.1,79.2,7,0,False,1
3,1,9.0,31.3875,7,2,True,0
3,0,26.0,16.1,7,2,True,0
3,0,30.1,7.75,7,1,False,1
3,1,18.0,7.775,7,2,False,0
3,0,30.1,14.4542,7,0,True,0
1,0,35.0,83.475,2,2,True,1
3,1,61.0,6.2375,7,2,False,0
2,0,50.0,10.5,7,2,False,1
3,1,38.0,7.05,7,2,False,0
3,1,17.0,8.6625,7,2,False,0
3,0,45.0,27.9,7,2,True,0
2,1,19.0,36.75,7,2,True,0
3,1,32.0,15.85,7,2,True,0
3,1,17.0,8.6625,7,2,False,0
3,1,40.0,15.5,7,1,True,0
3,1,30.1,69.55,7,2,True,0
2,0,48.0,65.0,7,2,True,1
3,1,30.0,7.2292,7,0,False,0
3,1,19.0,14.5,7,2,False,0
3,0,30.0,12.475,7,2,False,1
2,0,27.0,10.5,4,2,False,1
1,1,39.0,0.0,0,2,False,0
3,0,30.0,24.15,7,2,True,0
3,0,30.1,25.4667,7,2,True,0
3,1,19.0,10.1708,7,2,False,0
3,0,28.0,7.8958,7,2,False,0
1,0,26.0,78.85,7,2,False,1
3,1,30.1,8.1125,7,2,False,1
3,1,30.1,69.55,7,2,True,0
2,0,29.0,26.0,7,2,True,1
3,1,21.0,7.7958,7,2,False,1
2,1,21.0,11.5,7,2,True,0
1,1,26.0,30.0,2,0,False,1
3,0,29.0,10.4625,6,2,True,0
3,1,24.0,7.7958,7,2,False,0
1,1,30.1,52.0,0,2,False,0
3,1,25.0,0.0,7,2,False,1
3,0,19.0,7.8792,7,1,False,1
3,0,20.0,9.825,7,2,True,0
3,0,8.0,21.075,7,2,True,0
2,0,35.0,21.0,7,2,False,1
3,1,27.0,14.4542,7,0,True,0
3,1,28.0,56.4958,7,2,False,0
1,0,52.0,78.2667,3,0,True,1
1,1,31.0,50.4958,0,2,False,0
2,0,30.1,33.0,7,2,False,1
1,0,30.0,93.5,1,2,False,1
3,0,30.1,7.75,7,1,False,1
3,1,30.1,7.05,7,2,False,0
3,0,30.1,24.15,7,1,True,1
1,0,19.0,26.2833,3,2,True,1
3,0,30.1,23.25,7,1,True,1
3,1,51.0,8.05,7,2,False,0
3,0,30.1,7.8792,7,1,False,1
3,1,22.0,7.8958,7,2,False,0
1,1,30.1,35.5,2,2,False,1
3,1,4.0,11.1333,7,2,True,1
3,1,25.0,7.25,7,2,False,0
3,1,27.0,6.975,7,2,False,1
3,1,30.1,21.6792,7,0,True,0
3,0,18.0,7.775,7,2,False,0
1,1,33.0,5.0,1,2,False,0
3,0,2.0,27.9,7,2,True,0
1,1,64.0,26.0,7,2,False,0
3,1,29.0,7.0458,7,2,True,0
2,1,30.1,13.8625,7,0,False,1
3,1,4.0,27.9,7,2,True,0
2,1,30.1,0.0,7,2,False,0
3,1,30.1,7.8958,7,2,False,0
3,1,21.0,8.6625,7,2,False,0
2,0,30.0,12.35,7,1,False,1
3,1,30.1,19.9667,7,2,True,0
3,0,4.0,13.4167,7,0,True,1
2,1,24.0,10.5,7,2,False,0
3,1,30.1,7.8958,7,2,False,0
1,1,30.1,227.525,7,0,False,0
1,1,47.0,38.5,4,2,False,0
3,1,18.0,20.2125,7,2,True,0
3,1,25.0,7.05,7,2,False,0
2,0,30.1,12.35,4,1,False,1
3,1,8.0,29.125,7,1,True,0
1,0,15.0,211.3375,1,2,True,1
2,1,30.0,10.5,7,2,False,0
3,1,30.1,23.45,7,2,True,0
3,1,23.5,7.2292,7,0,False,0
2,1,34.0,13.0,3,2,False,1
3,1,30.1,7.8958,7,0,False,0
1,0,36.0,135.6333,2,0,False,1
2,0,24.0,13.0,7,2,False,0
2,1,36.0,27.75,7,2,True,0
1,1,37.0,53.1,2,2,True,0
1,1,45.0,26.55,1,2,False,0
3,1,44.0,8.05,7,2,False,0
3,1,19.0,7.8958,7,2,False,0
3,1,26.0,7.8958,7,2,False,0
3,1,22.0,7.25,7,2,False,0
3,1,41.0,14.1083,7,2,True,0
1,0,39.0,83.1583,4,0,True,1
3,0,27.0,12.475,4,2,True,1
1,1,18.0,108.9,2,0,True,0
2,1,34.0,13.0,7,2,False,0
3,1,29.0,7.775,7,2,False,0
2,1,34.0,21.0,7,2,True,0
3,1,30.1,7.2292,7,0,False,0
2,1,54.0,14.0,7,2,False,0
2,1,1.0,39.0,5,2,True,1
3,1,20.0,7.2292,7,0,False,1
3,1,30.1,14.5,7,2,False,0
3,1,25.0,7.225,7,0,False,0
1,0,40.0,153.4625,2,2,False,1
2,1,57.0,12.35,7,1,False,0
3,0,30.1,25.4667,7,2,True,0
3,1,7.0,29.125,7,1,True,0
1,1,80.0,30.0,0,2,False,1
2,1,35.0,26.0,7,2,False,0
1,1,61.0,33.5,1,2,False,0
3,1,26.0,8.05,7,2,False,0
3,1,30.1,56.4958,7,2,False,0
3,1,19.0,7.8958,7,2,False,0
3,1,30.1,25.4667,7,2,True,0
2,0,36.0,13.0,3,2,False,1
2,0,45.0,13.5,7,2,False,1
3,0,30.1,7.75,7,1,False,1
3,1,30.1,7.25,7,2,False,0
2,0,25.0,26.0,7,2,True,1
1,1,60.0,26.55,7,2,False,0
3,1,16.0,39.6875,7,2,True,0
2,0,24.0,65.0,7,2,True,1
2,1,30.1,0.0,7,2,False,0
1,1,55.0,30.5,2,2,False,0
3,1,33.0,7.8958,7,0,False,0
3,1,45.0,8.05,7,2,False,1
3,1,34.0,8.05,7,2,False,0
3,1,9.0,15.9,7,2,True,1
1,1,36.0,26.3875,4,2,False,1
3,1,30.0,7.8958,7,2,False,0
2,1,3.0,26.0,5,2,True,1
3,0,30.1,15.2458,7,0,True,0
2,0,34.0,32.5,7,2,True,1
1,1,50.0,133.65,7,2,True,1
2,1,34.0,21.0,7,2,True,0
2,1,52.0,13.0,7,2,False,0
3,1,55.5,8.05,7,2,False,0
2,0,31.0,26.25,7,2,True,1
3,0,4.0,16.7,6,2,True,1
1,0,35.0,135.6333,2,2,False,1
1,1,71.0,34.6542,0,0,False,0
3,1,24.0,7.05,7,2,False,0
1,0,56.0,83.1583,2,0,True,1
3,1,33.0,9.5,7,2,False,0
3,1,32.0,7.8542,7,2,False,1
3,1,33.0,20.525,7,2,True,0
3,1,34.5,6.4375,7,0,False,0
3,1,17.0,7.2292,7,0,True,0
3,1,18.0,8.3,7,2,False,0
1,1,38.0,153.4625,2,2,True,0
3,1,25.0,7.65,5,2,False,0
1,1,48.0,52.0,2,2,True,1
3,1,30.1,8.05,7,2,False,0
1,1,40.0,0.0,1,2,False,0
2,1,27.0,13.0,7,2,False,0
2,1,42.0,13.0,7,2,False,0
3,1,23.0,7.8542,7,2,False,0
3,1,24.0,7.4958,7,2,False,0
3,1,20.0,7.925,7,2,False,0
3,0,0.75,19.2583,7,0,True,1
3,0,30.1,8.05,7,2,False,0
2,0,54.0,23.0,7,2,True,1
3,1,34.0,8.05,7,2,False,0
3,1,30.0,16.1,7,2,True,0
3,1,48.0,7.8542,7,2,False,0
1,0,24.0,69.3,1,0,False,1
3,1,27.0,7.8958,7,2,False,0
2,1,52.0,13.5,7,2,False,0
1,0,22.0,66.6,2,2,True,1
1,0,30.1,89.1042,2,0,True,1
3,1,19.0,0.0,7,2,False,0
2,0,32.0,13.0,7,2,False,1
2,1,47.0,15.0,7,2,False,0
3,1,3.0,15.9,7,2,True,1
3,1,22.0,7.125,7,2,False,0
1,1,30.1,30.6958,7,0,False,0
3,1,30.1,8.05,7,2,False,0
3,1,6.0,12.475,4,2,True,1
2,1,24.0,73.5,7,2,True,0
2,1,35.0,10.5,7,2,False,0
3,1,30.1,7.7375,7,1,False,0
2,1,30.0,13.0,7,2,False,0
2,1,42.0,13.0,7,2,False,1
3,1,30.1,7.55,7,2,False,0
1,0,30.1,55.0,4,2,True,1
3,1,36.0,24.15,7,2,True,0
3,1,32.0,56.4958,7,2,False,1
1,1,51.0,61.3792,7,0,True,0
1,0,22.0,55.0,4,2,True,1
3,0,1.0,15.7417,7,0,True,1
3,0,35.0,20.25,7,2,True,1
3,1,30.1,7.75,7,1,False,0
1,1,42.0,26.2875,4,2,False,1
3,0,5.0,12.475,7,2,False,1
3,0,15.0,8.0292,7,1,False,1
3,1,34.0,14.4,7,2,True,0
2,1,32.0,73.5,7,2,True,0
3,1,16.0,9.5,7,2,False,0
3,1,38.0,8.6625,7,2,False,0
3,1,30.1,7.8958,7,2,False,0
3,0,30.1,7.2292,7,0,False,1
3,0,38.0,31.3875,7,2,True,1
3,1,30.1,7.75,7,1,False,0
1,1,30.1,27.7208,7,0,False,0
2,0,55.0,16.0,7,2,False,1
2,1,30.1,0.0,7,2,False,0
1,0,2.0,151.55,2,2,True,0
1,1,42.0,52.5542,3,2,True,1
1,1,29.0,66.6,2,2,True,0
1,0,52.0,93.5,1,2,True,1
3,1,30.1,7.225,7,0,False,0
3,1,22.0,8.05,7,2,False,0
2,0,3.0,41.5792,7,0,True,1
3,1,30.1,15.1,7,2,False,0
3,0,30.1,69.55,7,2,True,0
1,1,47.0,34.0208,3,2,False,0
2,0,44.0,26.0,7,2,True,0
3,1,40.0,7.8958,7,2,False,0
3,1,30.1,8.05,7,2,False,0
2,0,36.0,13.0,7,2,False,1
3,0,16.0,46.9,7,2,True,0
3,0,11.0,31.275,7,2,True,0
1,1,65.0,26.55,4,2,False,0
1,1,30.1,0.0,7,2,False,0
3,0,30.1,16.1,7,2,True,1
1,0,21.0,77.9583,3,2,False,1
3,0,30.1,7.8292,7,1,False,1
2,1,25.0,26.0,7,2,True,0
3,0,30.1,7.75,7,1,False,0
1,1,40.0,31.0,0,0,False,1
2,0,24.0,26.0,7,2,True,1
1,0,54.0,59.4,7,0,True,1
3,1,28.0,7.8958,7,2,False,0
3,0,30.0,8.6625,7,2,False,0
1,0,62.0,80.0,1,2,False,1
1,0,40.0,134.5,4,0,True,1
3,1,2.0,21.075,7,2,True,0
1,0,23.0,113.275,3,0,True,1
3,0,22.0,7.75,7,2,False,1
3,1,16.0,34.375,7,2,True,0
3,1,22.0,7.5208,7,2,False,0
3,0,37.0,9.5875,7,2,False,0
3,1,23.0,7.8958,7,2,False,0
1,0,31.0,113.275,3,0,True,1
2,0,25.0,30.0,7,2,True,1
2,1,28.0,13.5,7,2,False,0
2,1,23.0,10.5,7,2,False,0
3,1,43.0,8.05,7,2,False,0
3,1,30.1,19.9667,7,2,True,0
1,1,62.0,26.55,2,2,False,0
3,1,30.1,7.725,7,1,False,0
2,0,38.0,13.0,7,2,False,0
3,0,41.0,20.2125,7,2,True,0
3,0,45.0,7.75,7,2,False,0
2,1,30.0,13.0,7,2,False,0
3,1,28.0,7.8542,7,2,False,0
1,1,36.0,120.0,1,2,True,1
3,1,28.0,22.525,7,2,False,0
3,1,31.0,7.75,7,1,False,0
1,1,36.0,40.125,0,0,False,0
3,1,45.0,6.975,7,2,False,0
2,1,18.0,11.5,7,2,False,0
3,1,35.0,7.8958,7,0,False,0
1,1,48.0,76.7292,3,0,True,1
3,1,19.0,7.65,5,2,False,0
3,0,30.5,7.75,7,1,False,0
2,1,21.0,73.5,7,2,False,0
3,0,30.1,7.55,7,2,False,0
3,1,21.0,8.05,7,2,False,0
